mRNA,siRNA,Efficacy
J30312,J30312_9,0.989
J30312,J30312_10,0.988
J30312,J30312_11,0.983
J30312,J30312_12,0.98
J30312,J30312_13,0.978
J30312,J30312_14,0.977
J30312,J30312_15,0.973
J30312,J30312_16,0.968
J30312,J30312_17,0.966
J30312,J30312_18,0.963
J30312,J30312_19,0.963
J30312,J30312_20,0.962
J30312,J30312_21,0.961
J30312,J30312_22,0.96
J30312,J30312_23,0.959
J30312,J30312_24,0.959
J30312,J30312_25,0.957
J30312,J30312_26,0.957
J30312,J30312_27,0.955
J30312,J30312_28,0.951
J30312,J30312_29,0.947
J30312,J30312_30,0.942
J30312,J30312_31,0.942
J30312,J30312_32,0.941
J30312,J30312_33,0.941
J30312,J30312_34,0.941
J30312,J30312_35,0.936
J30312,J30312_36,0.935
J30312,J30312_37,0.934
mrna-BD135193,mrna-BD135193_1,1.06
mrna-BD135193,mrna-BD135193_2,1.046
mrna-BD135193,mrna-BD135193_3,1.033
mrna-BD135193,mrna-BD135193_4,0.979
mrna-BD135193,mrna-BD135193_5,0.966
mrna-BD135193,mrna-BD135193_6,0.965
mrna-BD135193,mrna-BD135193_7,0.957
mrna-BD135193,mrna-BD135193_8,0.954
mrna-BD135193,mrna-BD135193_9,0.953
mrna-BD135193,mrna-BD135193_10,0.951
mrna-BD135193,mrna-BD135193_11,0.937
mrna-BD135193,mrna-BD135193_12,0.936
mrna-BD135193,mrna-BD135193_13,0.936
mrna-BD135193,mrna-BD135193_14,0.934
mrna-BD135193,mrna-BD135193_15,0.932
mrna-BD135193,mrna-BD135193_16,0.932
mrna-BD135193,mrna-BD135193_17,0.927
mrna-BD135193,mrna-BD135193_18,0.926
mrna-BD135193,mrna-BD135193_19,0.924
mrna-BD135193,mrna-BD135193_20,0.922
mrna-BD135193,mrna-BD135193_21,0.92
mrna-BD135193,mrna-BD135193_22,0.919
mrna-BD135193,mrna-BD135193_23,0.918
mrna-BD135193,mrna-BD135193_24,0.916
mrna-BD135193,mrna-BD135193_25,0.912
mrna-BD135193,mrna-BD135193_26,0.912
mrna-BD135193,mrna-BD135193_27,0.912
mrna-BD135193,mrna-BD135193_28,0.911
mrna-BD135193,mrna-BD135193_29,0.91
mrna-BD135193,mrna-BD135193_30,0.909
mrna-BD135193,mrna-BD135193_31,0.906
mrna-BD135193,mrna-BD135193_32,0.904
mrna-BD135193,mrna-BD135193_33,0.9
mrna-BD135193,mrna-BD135193_34,0.899
mrna-BD135193,mrna-BD135193_35,0.894
mrna-BD135193,mrna-BD135193_36,0.892
mrna-BD135193,mrna-BD135193_37,0.891
mrna-BD135193,mrna-BD135193_38,0.89
mrna-BD135193,mrna-BD135193_39,0.884
mrna-BD135193,mrna-BD135193_40,0.883
mrna-BD135193,mrna-BD135193_41,0.882
mrna-BD135193,mrna-BD135193_42,0.759
mrna-BD135193,mrna-BD135193_43,0.758
mrna-BD135193,mrna-BD135193_44,0.758
mrna-BD135193,mrna-BD135193_45,0.757
mrna-BD135193,mrna-BD135193_46,0.757
mrna-BD135193,mrna-BD135193_47,0.757
mrna-BD135193,mrna-BD135193_48,0.756
mrna-BD135193,mrna-BD135193_49,0.756
mrna-BD135193,mrna-BD135193_50,0.755
mrna-BD135193,mrna-BD135193_51,0.755
mrna-BD135193,mrna-BD135193_52,0.754
mrna-BD135193,mrna-BD135193_53,0.754
mrna-BD135193,mrna-BD135193_54,0.754
mrna-BD135193,mrna-BD135193_55,0.754
mrna-BD135193,mrna-BD135193_56,0.754
mrna-BD135193,mrna-BD135193_57,0.753
mrna-BD135193,mrna-BD135193_58,0.752
mrna-BD135193,mrna-BD135193_59,0.752
mrna-BD135193,mrna-BD135193_60,0.751
mrna-BD135193,mrna-BD135193_61,0.751
mrna-BD135193,mrna-BD135193_62,0.75
mrna-BD135193,mrna-BD135193_63,0.75
mrna-BD135193,mrna-BD135193_64,0.75
mrna-BD135193,mrna-BD135193_65,0.748
mrna-BD135193,mrna-BD135193_66,0.747
mrna-BD135193,mrna-BD135193_67,0.746
mrna-NM_003337,mrna-NM_003337_1,1.037
mrna-NM_003337,mrna-NM_003337_2,0.972
mrna-NM_003337,mrna-NM_003337_3,0.963
mrna-NM_003337,mrna-NM_003337_4,0.947
mrna-NM_003337,mrna-NM_003337_5,0.947
mrna-NM_003337,mrna-NM_003337_6,0.946
mrna-NM_003337,mrna-NM_003337_7,0.939
mrna-NM_003337,mrna-NM_003337_8,0.938
mrna-NM_003337,mrna-NM_003337_9,0.931
mrna-NM_003337,mrna-NM_003337_10,0.928
mrna-NM_003337,mrna-NM_003337_11,0.928
mrna-NM_003337,mrna-NM_003337_12,0.923
mrna-NM_003337,mrna-NM_003337_13,0.921
mrna-NM_003337,mrna-NM_003337_14,0.919
mrna-NM_003337,mrna-NM_003337_15,0.912
mrna-NM_003337,mrna-NM_003337_16,0.912
mrna-NM_003337,mrna-NM_003337_17,0.91
mrna-NM_003337,mrna-NM_003337_18,0.91
mrna-NM_003337,mrna-NM_003337_19,0.905
mrna-NM_003337,mrna-NM_003337_20,0.905
mrna-NM_003337,mrna-NM_003337_21,0.903
mrna-NM_003337,mrna-NM_003337_22,0.893
mrna-NM_003337,mrna-NM_003337_23,0.89
mrna-NM_003337,mrna-NM_003337_24,0.888
mrna-NM_003337,mrna-NM_003337_25,0.888
mrna-NM_003337,mrna-NM_003337_26,0.887
mrna-NM_003337,mrna-NM_003337_27,0.883
mrna-NM_003337,mrna-NM_003337_28,0.881
mrna-NM_003337,mrna-NM_003337_29,0.88
mrna-NM_003337,mrna-NM_003337_30,0.879
mrna-NM_003337,mrna-NM_003337_31,0.878
mrna-NM_003337,mrna-NM_003337_32,0.878
mrna-NM_003337,mrna-NM_003337_33,0.877
mrna-NM_003337,mrna-NM_003337_34,0.877
mrna-NM_003337,mrna-NM_003337_35,0.876
mrna-NM_003337,mrna-NM_003337_36,0.874
mrna-NM_003337,mrna-NM_003337_37,0.874
mrna-NM_003337,mrna-NM_003337_38,0.87
mrna-NM_003337,mrna-NM_003337_39,0.869
mrna-NM_003337,mrna-NM_003337_40,0.866
mrna-NM_003337,mrna-NM_003337_41,0.865
mrna-NM_003337,mrna-NM_003337_42,0.865
mrna-NM_003337,mrna-NM_003337_43,0.858
mrna-NM_003337,mrna-NM_003337_44,0.858
mrna-NM_003337,mrna-NM_003337_45,0.857
mrna-NM_003337,mrna-NM_003337_46,0.854
mrna-NM_003337,mrna-NM_003337_47,0.853
mrna-NM_003337,mrna-NM_003337_48,0.853
mrna-NM_003337,mrna-NM_003337_49,0.851
mrna-NM_003337,mrna-NM_003337_50,0.85
mrna-NM_003337,mrna-NM_003337_51,0.848
mrna-NM_003337,mrna-NM_003337_52,0.848
mrna-NM_003337,mrna-NM_003337_53,0.846
mrna-NM_003337,mrna-NM_003337_54,0.846
mrna-NM_003337,mrna-NM_003337_55,0.846
mrna-NM_003337,mrna-NM_003337_56,0.792
mrna-NM_003337,mrna-NM_003337_57,0.79
mrna-NM_003337,mrna-NM_003337_58,0.789
mrna-NM_003337,mrna-NM_003337_59,0.788
mrna-NM_003337,mrna-NM_003337_60,0.788
mrna-NM_003337,mrna-NM_003337_61,0.788
mrna-NM_003337,mrna-NM_003337_62,0.784
mrna-NM_003337,mrna-NM_003337_63,0.784
mrna-NM_003337,mrna-NM_003337_64,0.784
mrna-NM_003337,mrna-NM_003337_65,0.783
mrna-NM_003337,mrna-NM_003337_66,0.783
mrna-NM_003337,mrna-NM_003337_67,0.779
mrna-NM_003337,mrna-NM_003337_68,0.777
mrna-NM_003337,mrna-NM_003337_69,0.776
mrna-NM_003337,mrna-NM_003337_70,0.776
mrna-NM_003337,mrna-NM_003337_71,0.776
mrna-NM_003337,mrna-NM_003337_72,0.776
mrna-NM_003337,mrna-NM_003337_73,0.775
mrna-NM_003337,mrna-NM_003337_74,0.773
mrna-NM_003337,mrna-NM_003337_75,0.773
mrna-NM_003337,mrna-NM_003337_76,0.771
mrna-NM_003337,mrna-NM_003337_77,0.77
mrna-NM_003337,mrna-NM_003337_78,0.77
mrna-NM_003337,mrna-NM_003337_79,0.762
mrna-NM_003340,mrna-NM_003340_1,1.078
mrna-NM_003340,mrna-NM_003340_2,1.024
mrna-NM_003340,mrna-NM_003340_3,1.024
mrna-NM_003340,mrna-NM_003340_4,1.011
mrna-NM_003340,mrna-NM_003340_5,1.0
mrna-NM_003340,mrna-NM_003340_6,0.986
mrna-NM_003340,mrna-NM_003340_7,0.982
mrna-NM_003340,mrna-NM_003340_8,0.978
mrna-NM_003340,mrna-NM_003340_9,0.976
mrna-NM_003340,mrna-NM_003340_10,0.961
mrna-NM_003340,mrna-NM_003340_11,0.954
mrna-NM_003340,mrna-NM_003340_12,0.945
mrna-NM_003340,mrna-NM_003340_13,0.945
mrna-NM_003340,mrna-NM_003340_14,0.944
mrna-NM_003340,mrna-NM_003340_15,0.94
mrna-NM_003340,mrna-NM_003340_16,0.934
mrna-NM_003340,mrna-NM_003340_17,0.93
mrna-NM_003340,mrna-NM_003340_18,0.927
mrna-NM_003340,mrna-NM_003340_19,0.914
mrna-NM_003340,mrna-NM_003340_20,0.91
mrna-NM_003340,mrna-NM_003340_21,0.908
mrna-NM_003340,mrna-NM_003340_22,0.908
mrna-NM_003340,mrna-NM_003340_23,0.908
mrna-NM_003340,mrna-NM_003340_24,0.903
mrna-NM_003340,mrna-NM_003340_25,0.901
mrna-NM_003340,mrna-NM_003340_26,0.901
mrna-NM_003340,mrna-NM_003340_27,0.899
mrna-NM_003340,mrna-NM_003340_28,0.899
mrna-NM_003340,mrna-NM_003340_29,0.898
mrna-NM_003340,mrna-NM_003340_30,0.898
mrna-NM_003340,mrna-NM_003340_31,0.897
mrna-NM_003340,mrna-NM_003340_32,0.897
mrna-NM_003340,mrna-NM_003340_33,0.895
mrna-NM_003340,mrna-NM_003340_34,0.894
mrna-NM_003340,mrna-NM_003340_35,0.894
mrna-NM_003340,mrna-NM_003340_36,0.89
mrna-NM_003340,mrna-NM_003340_37,0.89
mrna-NM_003340,mrna-NM_003340_38,0.888
mrna-NM_003340,mrna-NM_003340_39,0.886
mrna-NM_003340,mrna-NM_003340_40,0.885
mrna-NM_003340,mrna-NM_003340_41,0.884
mrna-NM_003340,mrna-NM_003340_42,0.881
mrna-NM_003340,mrna-NM_003340_43,0.881
mrna-NM_003340,mrna-NM_003340_44,0.879
mrna-NM_003340,mrna-NM_003340_45,0.878
mrna-NM_003340,mrna-NM_003340_46,0.877
mrna-NM_003340,mrna-NM_003340_47,0.876
mrna-NM_003340,mrna-NM_003340_48,0.876
mrna-NM_003340,mrna-NM_003340_49,0.876
mrna-NM_003340,mrna-NM_003340_50,0.874
mrna-NM_003340,mrna-NM_003340_51,0.873
mrna-NM_003340,mrna-NM_003340_52,0.871
mrna-NM_003340,mrna-NM_003340_53,0.87
mrna-NM_003340,mrna-NM_003340_54,0.87
mrna-NM_003340,mrna-NM_003340_55,0.865
mrna-NM_003340,mrna-NM_003340_56,0.861
mrna-NM_003340,mrna-NM_003340_57,0.861
mrna-NM_003340,mrna-NM_003340_58,0.859
mrna-NM_003340,mrna-NM_003340_59,0.857
mrna-NM_003340,mrna-NM_003340_60,0.856
mrna-NM_003340,mrna-NM_003340_61,0.856
mrna-NM_003340,mrna-NM_003340_62,0.853
mrna-NM_003340,mrna-NM_003340_63,0.853
mrna-NM_003340,mrna-NM_003340_64,0.852
mrna-NM_003340,mrna-NM_003340_65,0.852
mrna-NM_003340,mrna-NM_003340_66,0.852
mrna-NM_003340,mrna-NM_003340_67,0.851
mrna-NM_003340,mrna-NM_003340_68,0.851
mrna-NM_003340,mrna-NM_003340_69,0.851
mrna-NM_003340,mrna-NM_003340_70,0.85
mrna-NM_003340,mrna-NM_003340_71,0.849
mrna-NM_003340,mrna-NM_003340_72,0.847
mrna-NM_003340,mrna-NM_003340_73,0.847
mrna-NM_003340,mrna-NM_003340_74,0.846
mrna-NM_003340,mrna-NM_003340_75,0.846
mrna-NM_003340,mrna-NM_003340_76,0.846
mrna-NM_003340,mrna-NM_003340_77,0.846
mrna-NM_003340,mrna-NM_003340_78,0.845
mrna-NM_003340,mrna-NM_003340_79,0.845
mrna-NM_003340,mrna-NM_003340_80,0.845
mrna-NM_003340,mrna-NM_003340_81,0.845
mrna-NM_003340,mrna-NM_003340_82,0.844
mrna-NM_003340,mrna-NM_003340_83,0.837
mrna-NM_003340,mrna-NM_003340_84,0.835
mrna-NM_003340,mrna-NM_003340_85,0.832
mrna-NM_003340,mrna-NM_003340_86,0.831
mrna-NM_003340,mrna-NM_003340_87,0.83
mrna-NM_003344,mrna-NM_003344_1,1.059
mrna-NM_003344,mrna-NM_003344_2,1.031
mrna-NM_003344,mrna-NM_003344_3,1.02
mrna-NM_003344,mrna-NM_003344_4,1.017
mrna-NM_003344,mrna-NM_003344_5,0.999
mrna-NM_003344,mrna-NM_003344_6,0.984
mrna-NM_003344,mrna-NM_003344_7,0.97
mrna-NM_003344,mrna-NM_003344_8,0.966
mrna-NM_003344,mrna-NM_003344_9,0.965
mrna-NM_003344,mrna-NM_003344_10,0.96
mrna-NM_003344,mrna-NM_003344_11,0.956
mrna-NM_003344,mrna-NM_003344_12,0.95
mrna-NM_003344,mrna-NM_003344_13,0.946
mrna-NM_003344,mrna-NM_003344_14,0.945
mrna-NM_003344,mrna-NM_003344_15,0.939
mrna-NM_003344,mrna-NM_003344_16,0.939
mrna-NM_003344,mrna-NM_003344_17,0.938
mrna-NM_003344,mrna-NM_003344_18,0.936
mrna-NM_003344,mrna-NM_003344_19,0.934
mrna-NM_003344,mrna-NM_003344_20,0.933
mrna-NM_003344,mrna-NM_003344_21,0.933
mrna-NM_003344,mrna-NM_003344_22,0.928
mrna-NM_003344,mrna-NM_003344_23,0.927
mrna-NM_003344,mrna-NM_003344_24,0.921
mrna-NM_003344,mrna-NM_003344_25,0.916
mrna-NM_003344,mrna-NM_003344_26,0.916
mrna-NM_003344,mrna-NM_003344_27,0.915
mrna-NM_003344,mrna-NM_003344_28,0.913
mrna-NM_003344,mrna-NM_003344_29,0.91
mrna-NM_003344,mrna-NM_003344_30,0.909
mrna-NM_003344,mrna-NM_003344_31,0.909
mrna-NM_003344,mrna-NM_003344_32,0.909
mrna-NM_003344,mrna-NM_003344_33,0.901
mrna-NM_003344,mrna-NM_003344_34,0.9
mrna-NM_003344,mrna-NM_003344_35,0.899
mrna-NM_003344,mrna-NM_003344_36,0.896
mrna-NM_003344,mrna-NM_003344_37,0.896
mrna-NM_003344,mrna-NM_003344_38,0.895
mrna-NM_003344,mrna-NM_003344_39,0.894
mrna-NM_003344,mrna-NM_003344_40,0.892
mrna-NM_003344,mrna-NM_003344_41,0.888
mrna-NM_003344,mrna-NM_003344_42,0.886
mrna-NM_003344,mrna-NM_003344_43,0.886
mrna-NM_003344,mrna-NM_003344_44,0.886
mrna-NM_003344,mrna-NM_003344_45,0.886
mrna-NM_003344,mrna-NM_003344_46,0.885
mrna-NM_003344,mrna-NM_003344_47,0.883
mrna-NM_003344,mrna-NM_003344_48,0.882
mrna-NM_003344,mrna-NM_003344_49,0.882
mrna-NM_003344,mrna-NM_003344_50,0.88
mrna-NM_003344,mrna-NM_003344_51,0.878
mrna-NM_003344,mrna-NM_003344_52,0.877
mrna-NM_003344,mrna-NM_003344_53,0.877
mrna-NM_003344,mrna-NM_003344_54,0.876
mrna-NM_003344,mrna-NM_003344_55,0.873
mrna-NM_003344,mrna-NM_003344_56,0.873
mrna-NM_003344,mrna-NM_003344_57,0.872
mrna-NM_003344,mrna-NM_003344_58,0.872
mrna-NM_003344,mrna-NM_003344_59,0.867
mrna-NM_003344,mrna-NM_003344_60,0.866
mrna-NM_003344,mrna-NM_003344_61,0.866
mrna-NM_003344,mrna-NM_003344_62,0.866
mrna-NM_003344,mrna-NM_003344_63,0.865
mrna-NM_003344,mrna-NM_003344_64,0.865
mrna-NM_003344,mrna-NM_003344_65,0.864
mrna-NM_003344,mrna-NM_003344_66,0.864
mrna-NM_003344,mrna-NM_003344_67,0.861
mrna-NM_003344,mrna-NM_003344_68,0.861
mrna-NM_003344,mrna-NM_003344_69,0.86
mrna-NM_003344,mrna-NM_003344_70,0.859
mrna-NM_004359,mrna-NM_004359_1,0.944
mrna-NM_004359,mrna-NM_004359_2,0.941
mrna-NM_004359,mrna-NM_004359_3,0.909
mrna-NM_004359,mrna-NM_004359_4,0.901
mrna-NM_004359,mrna-NM_004359_5,0.882
mrna-NM_004359,mrna-NM_004359_6,0.88
mrna-NM_004359,mrna-NM_004359_7,0.879
mrna-NM_004359,mrna-NM_004359_8,0.872
mrna-NM_004359,mrna-NM_004359_9,0.864
mrna-NM_004359,mrna-NM_004359_10,0.862
mrna-NM_004359,mrna-NM_004359_11,0.861
mrna-NM_004359,mrna-NM_004359_12,0.861
mrna-NM_004359,mrna-NM_004359_13,0.858
mrna-NM_004359,mrna-NM_004359_14,0.856
mrna-NM_004359,mrna-NM_004359_15,0.856
mrna-NM_004359,mrna-NM_004359_16,0.855
mrna-NM_004359,mrna-NM_004359_17,0.853
mrna-NM_004359,mrna-NM_004359_18,0.843
mrna-NM_004359,mrna-NM_004359_19,0.843
mrna-NM_004359,mrna-NM_004359_20,0.839
mrna-NM_004359,mrna-NM_004359_21,0.836
mrna-NM_004359,mrna-NM_004359_22,0.83
mrna-NM_004359,mrna-NM_004359_23,0.828
mrna-NM_004359,mrna-NM_004359_24,0.821
mrna-NM_004359,mrna-NM_004359_25,0.817
mrna-NM_004359,mrna-NM_004359_26,0.815
mrna-NM_004359,mrna-NM_004359_27,0.809
mrna-NM_004359,mrna-NM_004359_28,0.807
mrna-NM_004359,mrna-NM_004359_29,0.807
mrna-NM_004359,mrna-NM_004359_30,0.806
mrna-NM_004359,mrna-NM_004359_31,0.805
mrna-NM_004359,mrna-NM_004359_32,0.803
mrna-NM_004359,mrna-NM_004359_33,0.798
mrna-NM_004359,mrna-NM_004359_34,0.796
mrna-NM_004359,mrna-NM_004359_35,0.795
mrna-NM_004359,mrna-NM_004359_36,0.795
mrna-NM_004359,mrna-NM_004359_37,0.793
mrna-NM_004359,mrna-NM_004359_38,0.791
mrna-NM_004359,mrna-NM_004359_39,0.788
mrna-NM_004359,mrna-NM_004359_40,0.786
mrna-NM_004359,mrna-NM_004359_41,0.781
mrna-NM_004359,mrna-NM_004359_42,0.779
mrna-NM_004359,mrna-NM_004359_43,0.774
mrna-NM_004359,mrna-NM_004359_44,0.774
mrna-NM_004359,mrna-NM_004359_45,0.767
mrna-NM_004359,mrna-NM_004359_46,0.767
mrna-NM_004359,mrna-NM_004359_47,0.766
mrna-NM_004359,mrna-NM_004359_48,0.764
mrna-NM_004359,mrna-NM_004359_49,0.764
mrna-NM_004359,mrna-NM_004359_50,0.761
mrna-NM_004359,mrna-NM_004359_51,0.759
mrna-NM_004359,mrna-NM_004359_52,0.759
mrna-NM_004359,mrna-NM_004359_53,0.692
mrna-NM_004359,mrna-NM_004359_54,0.692
mrna-NM_004359,mrna-NM_004359_55,0.691
mrna-NM_004359,mrna-NM_004359_56,0.691
mrna-NM_004359,mrna-NM_004359_57,0.69
NM_003347,NM_003347_1,1.089
NM_003347,NM_003347_2,1.08
NM_003347,NM_003347_3,0.988
NM_003347,NM_003347_4,0.986
NM_003347,NM_003347_5,0.977
NM_003347,NM_003347_6,0.96
NM_003347,NM_003347_7,0.95
NM_003347,NM_003347_8,0.946
NM_003347,NM_003347_9,0.943
NM_003347,NM_003347_10,0.942
NM_003347,NM_003347_11,0.93
NM_003347,NM_003347_12,0.929
NM_003347,NM_003347_13,0.926
NM_003347,NM_003347_14,0.922
NM_003347,NM_003347_15,0.921
NM_003347,NM_003347_16,0.919
NM_003347,NM_003347_17,0.919
NM_003347,NM_003347_18,0.917
NM_003347,NM_003347_19,0.909
NM_003347,NM_003347_20,0.906
NM_003347,NM_003347_21,0.904
NM_003347,NM_003347_22,0.904
NM_003347,NM_003347_23,0.902
NM_003347,NM_003347_24,0.901
NM_003347,NM_003347_25,0.9
NM_003347,NM_003347_26,0.895
NM_003347,NM_003347_27,0.893
NM_003347,NM_003347_28,0.89
NM_003347,NM_003347_29,0.884
NM_003347,NM_003347_30,0.881
NM_003347,NM_003347_31,0.881
NM_003347,NM_003347_32,0.878
NM_003347,NM_003347_33,0.877
NM_003347,NM_003347_34,0.875
NM_003347,NM_003347_35,0.873
NM_003347,NM_003347_36,0.85
NM_003347,NM_003347_37,0.849
NM_003347,NM_003347_38,0.849
NM_003347,NM_003347_39,0.848
NM_003347,NM_003347_40,0.845
NM_003347,NM_003347_41,0.844
NM_003347,NM_003347_42,0.843
NM_003347,NM_003347_43,0.834
NM_003347,NM_003347_44,0.834
NM_003347,NM_003347_45,0.832
NM_003347,NM_003347_46,0.831
NM_003347,NM_003347_47,0.831
NM_003347,NM_003347_48,0.828
NM_003347,NM_003347_49,0.826
NM_003347,NM_003347_50,0.826
NM_003347,NM_003347_51,0.43
NM_003347,NM_003347_52,0.402
NM_003347,NM_003347_53,0.381
NM_004223,NM_004223_1,1.06
NM_004223,NM_004223_2,1.02
NM_004223,NM_004223_3,0.989
NM_004223,NM_004223_4,0.985
NM_004223,NM_004223_5,0.971
NM_004223,NM_004223_6,0.968
NM_004223,NM_004223_7,0.955
NM_004223,NM_004223_8,0.938
NM_004223,NM_004223_9,0.932
NM_004223,NM_004223_10,0.927
NM_004223,NM_004223_11,0.927
NM_004223,NM_004223_12,0.926
NM_004223,NM_004223_13,0.923
NM_004223,NM_004223_14,0.921
NM_004223,NM_004223_15,0.92
NM_004223,NM_004223_16,0.918
NM_004223,NM_004223_17,0.906
NM_004223,NM_004223_18,0.904
NM_004223,NM_004223_19,0.898
NM_004223,NM_004223_20,0.898
NM_004223,NM_004223_21,0.896
NM_004223,NM_004223_22,0.894
NM_004223,NM_004223_23,0.894
NM_004223,NM_004223_24,0.891
NM_004223,NM_004223_25,0.89
NM_004223,NM_004223_26,0.889
NM_004223,NM_004223_27,0.886
NM_004223,NM_004223_28,0.884
NM_004223,NM_004223_29,0.876
NM_004223,NM_004223_30,0.874
NM_004223,NM_004223_31,0.872
NM_004223,NM_004223_32,0.872
NM_004223,NM_004223_33,0.869
NM_004223,NM_004223_34,0.867
NM_004223,NM_004223_35,0.856
NM_004223,NM_004223_36,0.854
NM_004223,NM_004223_37,0.849
NM_004223,NM_004223_38,0.849
NM_004223,NM_004223_39,0.845
NM_004223,NM_004223_40,0.843
NM_004223,NM_004223_41,0.837
NM_004223,NM_004223_42,0.833
NM_004223,NM_004223_43,0.832
NM_004223,NM_004223_44,0.832
NM_004223,NM_004223_45,0.83
NM_004223,NM_004223_46,0.83
NM_004223,NM_004223_47,0.827
NM_004223,NM_004223_48,0.825
NM_004223,NM_004223_49,0.824
NM_004223,NM_004223_50,0.82
NM_004223,NM_004223_51,0.82
NM_004223,NM_004223_52,0.817
NM_004223,NM_004223_53,0.817
NM_004223,NM_004223_54,0.816
NM_004223,NM_004223_55,0.814
NM_004223,NM_004223_56,0.814
NM_004223,NM_004223_57,0.814
NM_004223,NM_004223_58,0.812
NM_004223,NM_004223_59,0.812
NM_004223,NM_004223_60,0.76
NM_004223,NM_004223_61,0.76
NM_004223,NM_004223_62,0.758
NM_004223,NM_004223_63,0.757
NM_004223,NM_004223_64,0.756
NM_004223,NM_004223_65,0.756
NM_004223,NM_004223_66,0.754
NM_004223,NM_004223_67,0.753
NM_004223,NM_004223_68,0.713
NM_004223,NM_004223_69,0.71
NM_004223,NM_004223_70,0.709
NM_004223,NM_004223_71,0.709
NM_004223,NM_004223_72,0.709
NM_014501,NM_014501_1,0.964
NM_014501,NM_014501_2,0.922
NM_014501,NM_014501_3,0.906
NM_014501,NM_014501_4,0.904
NM_014501,NM_014501_5,0.896
NM_014501,NM_014501_6,0.893
NM_014501,NM_014501_7,0.88
NM_014501,NM_014501_8,0.873
NM_014501,NM_014501_9,0.867
NM_014501,NM_014501_10,0.861
NM_014501,NM_014501_11,0.861
NM_014501,NM_014501_12,0.859
NM_014501,NM_014501_13,0.855
NM_014501,NM_014501_14,0.855
NM_014501,NM_014501_15,0.855
NM_014501,NM_014501_16,0.853
NM_014501,NM_014501_17,0.849
NM_014501,NM_014501_18,0.846
NM_014501,NM_014501_19,0.845
NM_014501,NM_014501_20,0.831
NM_014501,NM_014501_21,0.827
NM_014501,NM_014501_22,0.827
NM_014501,NM_014501_23,0.822
NM_014501,NM_014501_24,0.821
NM_014501,NM_014501_25,0.821
NM_014501,NM_014501_26,0.818
NM_014501,NM_014501_27,0.813
NM_014501,NM_014501_28,0.813
NM_014501,NM_014501_29,0.811
NM_014501,NM_014501_30,0.809
NM_014501,NM_014501_31,0.806
NM_014501,NM_014501_32,0.798
NM_014501,NM_014501_33,0.797
NM_014501,NM_014501_34,0.794
NM_014501,NM_014501_35,0.793
NM_014501,NM_014501_36,0.789
NM_014501,NM_014501_37,0.787
NM_014501,NM_014501_38,0.785
NM_014501,NM_014501_39,0.785
NM_014501,NM_014501_40,0.785
NM_014501,NM_014501_41,0.784
NM_014501,NM_014501_42,0.784
NM_014501,NM_014501_43,0.782
NM_014501,NM_014501_44,0.78
NM_014501,NM_014501_45,0.776
NM_014501,NM_014501_46,0.774
NM_014501,NM_014501_47,0.773
NM_014501,NM_014501_48,0.772
NM_014501,NM_014501_49,0.767
NM_014501,NM_014501_50,0.766
NM_014501,NM_014501_51,0.765
NM_014501,NM_014501_52,0.765
NM_014501,NM_014501_53,0.763
NM_014501,NM_014501_54,0.758
NM_014501,NM_014501_55,0.757
NM_014501,NM_014501_56,0.755
NM_014501,NM_014501_57,0.707
NM_014501,NM_014501_58,0.702
NM_014501,NM_014501_59,0.7
NM_014501,NM_014501_60,0.699
NM_014501,NM_014501_61,0.699
NM_014501,NM_014501_62,0.699
NM_014501,NM_014501_63,0.698
NM_014501,NM_014501_64,0.698
NM_014501,NM_014501_65,0.697
NM_014501,NM_014501_66,0.697
NM_014501,NM_014501_67,0.697
NM_014501,NM_014501_68,0.696
NM_014501,NM_014501_69,0.695
NM_014501,NM_014501_70,0.693
NM_014501,NM_014501_71,0.693
NM_014501,NM_014501_72,0.691
NM_014501,NM_014501_73,0.69
NM_014501,NM_014501_74,0.678
NM_014501,NM_014501_75,0.678
NM_014501,NM_014501_76,0.677
NM_014501,NM_014501_77,0.675
NM_014501,NM_014501_78,0.675
NM_014501,NM_014501_79,0.673
NM_015213,NM_015213_1,1.105
NM_015213,NM_015213_2,1.087
NM_015213,NM_015213_3,1.049
NM_015213,NM_015213_4,1.04
NM_015213,NM_015213_5,1.035
NM_015213,NM_015213_6,1.017
NM_015213,NM_015213_7,1.013
NM_015213,NM_015213_8,1.01
NM_015213,NM_015213_9,1.01
NM_015213,NM_015213_10,1.01
NM_015213,NM_015213_11,1.005
NM_015213,NM_015213_12,1.005
NM_015213,NM_015213_13,1.003
NM_015213,NM_015213_14,1.001
NM_015213,NM_015213_15,0.998
NM_015213,NM_015213_16,0.997
NM_015213,NM_015213_17,0.992
NM_015213,NM_015213_18,0.992
NM_015213,NM_015213_19,0.99
NM_015213,NM_015213_20,0.989
NM_015213,NM_015213_21,0.988
NM_015213,NM_015213_22,0.987
NM_015213,NM_015213_23,0.986
NM_015213,NM_015213_24,0.986
NM_015213,NM_015213_25,0.986
NM_015213,NM_015213_26,0.985
NM_015213,NM_015213_27,0.982
NM_015213,NM_015213_28,0.981
NM_015213,NM_015213_29,0.98
NM_015213,NM_015213_30,0.977
NM_015213,NM_015213_31,0.977
NM_015213,NM_015213_32,0.977
NM_015213,NM_015213_33,0.975
NM_015213,NM_015213_34,0.974
NM_015213,NM_015213_35,0.974
NM_015213,NM_015213_36,0.972
NM_015213,NM_015213_37,0.971
